angle (deg), distance (mm)
83,224
91,474
95,489
99,510
131,305
141,217
145,212
149,207
165,679
169,665
181,2344
185,2381
191,2429
223,238
227,254
231,274
239,297
243,1093
247,512
255,458
259,2651
263,2631
271,2751
83,224
91,475
95,490
99,511
119,1427
131,304
137,293
145,212
149,207
165,680
169,666
179,2295
185,2356
223,238
227,254
231,274
239,298
243,1095
247,511
251,466
263,2624
267,2611
83,224
95,490
99,510
103,534
119,1436
131,304
137,292
145,212
149,207
165,678
169,666
181,2339
185,2370
219,214
227,254
231,274
235,295
243,1094
247,510
251,465
261,2665
265,2615
83,224
95,490
99,511
103,534
119,1425
131,305
137,293
145,212
149,207
165,679
169,666
177,2233
181,2331
185,2367
193,2534
223,238
227,254
231,274
239,297
243,1094
247,510
255,457
263,2627
271,2748
219,214
227,254
231,274
235,296
243,1094
247,509
251,465
263,2628
267,2573
83,224
91,474
95,490
99,511
119,1430
131,305
141,217
145,212
149,207
165,678
169,666
179,2217
223,239
227,254
235,295
239,297
243,1094
251,466
255,458
261,2648
265,2618
271,2746
83,224
91,474
99,510
103,534
119,1430
131,304
137,293
141,217
145,212
165,679
169,666
173,1366
181,2261
185,2396
189,2485
219,214
227,254
231,274
235,296
243,1093
247,509
251,465
259,2670
263,2638
267,2595
83,224
91,475
95,489
99,510
83,224
95,489
99,511
103,534
119,1429
131,305
137,293
145,212
149,207
165,679
169,666
181,2337
185,2381
223,238
227,254
231,274
239,298
243,1095
247,510
255,458
261,2656
265,2597
273,2736
91,474
95,489
103,534
119,1423
137,293
141,217
145,212
169,666
173,1366
185,2375
189,2480
193,2547
219,214
223,239
231,274
235,295
239,298
247,510
251,465
255,457
265,2615
271,2745
83,224
95,489
99,510
103,534
119,1429
131,304
137,293
145,212
149,207
165,679
169,665
181,2350
185,2405
191,2487
223,238
227,253
231,274
239,298
243,1095
247,511
255,457
261,2648
265,2623
271,2746
265,2616
271,2746
91,475
95,490
103,534
119,1429
137,293
141,217
145,211
165,680
169,666
173,1368
185,2401
189,2488
219,214
227,254
231,274
235,296
243,1094
247,510
251,464
261,2551
265,2624
91,475
95,490
103,534
119,1426
137,293
141,217
145,212
169,666
173,1366
185,2375
189,2483
193,2632
219,214
227,254
231,274
235,295
243,1095
247,509
251,464
263,2573
267,2594
91,474
95,489
103,534
119,1423
137,293
141,217
145,212
91,474
95,489
99,511
131,304
141,217
145,212
149,207
165,680
173,1366
181,2333
189,2451
193,2504
219,214
223,238
231,274
235,295
239,298
247,512
251,465
255,458
265,2608
269,2612
273,2715
83,224
95,490
99,510
119,1428
131,305
141,217
145,212
149,207
165,680
169,666
181,2342
185,2390
193,2526
219,214
